idVia;nombreOriginal;numeroExpediente;fecha;hora;nombreVia;portal;distrito;tipoAccidente;meteorologia;tipoVehiculo;tipoPersonaAfectada;typicalAgeRange;gender;lesividad;esCruce;tipoVia;palabrasClave;municipio
298000;CALL. FLORA;2019S002788;14/01/2019;11:10; CALLE FLORA;1;CENTRO;Caída;Despejado;Bicicleta;Conductor;40-44;Male;07;0;Calle;FLORA;Madrid
206900;PLAZA. CONDE DEL VALLE DE SUCHIL;2019S003749;16/01/2019;15:20; PLAZA CONDE DEL VALLE DE SUCHIL;3;CHAMBERÍ;Caída;Despejado;Bicicleta;Conductor;55-59;Female;07;0;Plaza;CONDE VALLE SUCHIL;Madrid
233600;AVDA. DAROCA / CALL. NICOLAS SALMERON;2019S003306;16/01/2019;9:00;AVENIDA DAROCA;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;35-39;Male;06;2;Avenida;DAROCA;Madrid
533550;AVDA. DAROCA / CALL. NICOLAS SALMERON;2019S003306;16/01/2019;9:00;CALLE NICOLAS SALMERON;-;CIUDAD LINEAL;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;35-39;Male;06;2;Calle;NICOLAS SALMERON;Madrid
68300;CALL. ARENAL / CALL. DONADOS;2019S004601;17/01/2019;19:50;CALLE ARENAL;-;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;21-24;Male;07;2;Calle;ARENAL;Madrid
248900;CALL. ARENAL / CALL. DONADOS;2019S004601;17/01/2019;19:50;CALLE DONADOS;-;CENTRO;Colisión lateral;Despejado;Bicicleta;Conductor;21-24;Male;07;2;Calle;DONADOS;Madrid
710300;CALL. SERRANO;2019S004151;17/01/2019;16:15; CALLE SERRANO;141;CHAMARTÍN;Alcance;Despejado;Bicicleta;Conductor;45-49;Female;14;0;Calle;SERRANO;Madrid
239500;CALL. DOCE DE OCTUBRE;2019S003662;17/01/2019;6:00; CALLE DOCE DE OCTUBRE;26;RETIRO;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;18-20;Male;02;0;Calle;DOCE OCTUBRE;Madrid
292100;AVDA. FERMINA SEVILLANO;2019S004271;18/01/2019;18:05; AVENIDA FERMINA SEVILLANO;42;SAN BLAS-CANILLEJAS;Colisión frontal;;Bicicleta;Conductor;45-49;Male;;0;Avenida;FERMINA SEVILLANO;Madrid
785400;CALL. VILLABLANCA;2019S005101;18/01/2019;13:00; CALLE VILLABLANCA;11;VICÁLVARO;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;60-64;Male;02;0;Calle;VILLABLANCA;Madrid
334800;CALL. GENOVA;2019S004769;18/01/2019;7:55; CALLE GENOVA;2;CENTRO;Caída;Despejado;Bicicleta;Conductor;50-54;Male;02;0;Calle;GENOVA;Madrid
372700;PLAZA. INDEPENDENCIA / CALL. ALCALA;2019S004528;19/01/2019;21:10;PLAZA INDEPENDENCIA;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;25-29;Male;06;2;Plaza;INDEPENDENCIA;Madrid
18900;PLAZA. INDEPENDENCIA / CALL. ALCALA;2019S004528;19/01/2019;21:10;CALLE ALCALA;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;25-29;Male;06;2;Calle;ALCALA;Madrid
563900;CTRA. EL PARDO A FUENCARRAL;2019S004582;19/01/2019;11:10; CARRETERA EL PARDO A FUENCARRAL;0;FUENCARRAL-EL PARDO;Caída;Despejado;Bicicleta;Conductor;30-34;Male;02;0;Carretera;PARDO FUENCARRAL;Madrid
