nombreOriginal;Nº  EXPEDIENTE;FECHA;HORA;CALLE;NÚMERO;DISTRITO;TIPO ACCIDENTE;ESTADO METEREOLÓGICO;TIPO VEHÍCULO;TIPO PERSONA;RANGO EDAD;SEXO;LESIVIDAD*;esCruce;tipoVia
AVDA. CARABANCHEL ALTO;2019S006655;30/01/2019;13:20; AVENIDA CARABANCHEL ALTO;122;CARABANCHEL;Colisión frontal;Despejado;Bicicleta;Conductor;DE 10 A 14 AÑOS;Mujer;01;0;Avenida
CALL. TOMASA RUIZ;2019S006649;30/01/2019;11:41; CALLE TOMASA RUIZ;1;CARABANCHEL;Choque contra obstáculo fijo;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;;0;Calle
CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO;2019S007855;01/02/2019;13:30;CALLE DOCTOR ESQUERDO;-;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07;2;Calle
CALL. DOCTOR ESQUERDO / CALL. DOCTOR ESQUERDO;2019S007855;01/02/2019;13:30;CALLE DOCTOR ESQUERDO;-;RETIRO;Alcance;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Mujer;07;2;Calle
CALL. SANTA ENGRACIA / CALL. RIOS ROSAS;2019S008460;01/02/2019;1:40;CALLE SANTA ENGRACIA;-;CHAMBERÍ;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;2;Calle
CALL. SANTA ENGRACIA / CALL. RIOS ROSAS;2019S008460;01/02/2019;1:40;CALLE RIOS ROSAS;-;CHAMBERÍ;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 21 A 24 AÑOS;Hombre;07;2;Calle
CALL. FRANCISCO SANTOS / CALL. MARTINEZ IZQUIERDO;2019S007891;01/02/2019;0:15;CALLE FRANCISCO SANTOS;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07;2;Calle
CALL. FRANCISCO SANTOS / CALL. MARTINEZ IZQUIERDO;2019S007891;01/02/2019;0:15;CALLE MARTINEZ IZQUIERDO;-;SALAMANCA;Colisión fronto-lateral;Lluvia débil;Bicicleta;Conductor;DE 45 A 49 AÑOS;Hombre;07;2;Calle
CALL. MARTINEZ DE LA RIVA;2019S010276;02/02/2019;11:30; CALLE MARTINEZ DE LA RIVA;4;PUENTE DE VALLECAS;Colisión lateral;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;;0;Calle
CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MARCELO USERA;-;USERA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;14;2;Calle
CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MANUEL NOYA;-;USERA;Atropello a persona;Despejado;Bicicleta;Conductor;DE 50 A 54 AÑOS;Mujer;14;2;Calle
CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MARCELO USERA;-;USERA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 70 A 74 AÑOS;Mujer;07;2;Calle
CALL. MARCELO USERA / CALL. MANUEL NOYA;2019S007920;02/02/2019;11:07;CALLE MANUEL NOYA;-;USERA;Atropello a persona;Despejado;Bicicleta;Peatón;DE 70 A 74 AÑOS;Mujer;07;2;Calle
CALL. MARIA DE MOLINA;2019S007753;02/02/2019;0:03; CALLE MARIA DE MOLINA;18;SALAMANCA;Caída;Despejado;Bicicleta;Conductor;DE 35 A 39 AÑOS;Hombre;02;0;Calle
CALL. ALTAMIRANO / PASEO. PINTOR ROSALES;2019S008637;03/02/2019;17:00;CALLE ALTAMIRANO;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;06;2;Calle
CALL. ALTAMIRANO / PASEO. PINTOR ROSALES;2019S008637;03/02/2019;17:00;PASEO PINTOR ROSALES;-;MONCLOA-ARAVACA;Caída;Despejado;Bicicleta;Conductor;DE 45 A 49 AÑOS;Mujer;06;2;Paseo
CALL. AGUSTIN DE FOXA;2019S008855;06/02/2019;19:40; CALLE AGUSTIN DE FOXA;30;CHAMARTÍN;Colisión fronto-lateral;Despejado;Bicicleta;Conductor;DE 30 A 34 AÑOS;Hombre;06;0;Calle
CALL. ALCALA;2019S008627;06/02/2019;17:30; CALLE ALCALA;173;SALAMANCA;Alcance;Despejado;Bicicleta;Conductor;DE 40 A 44 AÑOS;Hombre;;0;Calle
