nombreOriginal;tipoUso;nombreVia;distMaxExclusBici;longitud;tipoVia;palabrasClave;idVia;carrilExclusBici;municipio
Paseo Castellana;CICLOCALLES; PASEO CASTELLANA;0,00000000000;3426.07134154;Paseo;CASTELLANA;153500;0;Madrid
PrÝncipe de Vergara;CICLOCALLES; PRÍNCIPE DE VERGARA;0,00000000000;3163.17772325;;PRÍNCIPE VERGARA;610450;0;Madrid
Serrano;CICLOCALLES; SERRANO;0,00000000000;829.41748343;;SERRANO;710300;0;Madrid
Serrano;CICLOCALLES; SERRANO;0,00000000000;1331.38079977;;SERRANO;710300;0;Madrid
Joaquin Costa;CICLOCALLES; JOAQUIN COSTA;0,00000000000;1221.9090593199999;;JOAQUIN COSTA;395300;0;Madrid
Vallehermoso;CICLOCALLES; VALLEHERMOSO;0,00000000000;217.80941714;Valle;VALLEHERMOSO;768800;0;Madrid
Santander;CICLOCALLES; SANTANDER;0,00000000000;402.19189706000003;;SANTANDER;699700;0;Madrid
Gral Iba±ez de Ibero;CICLOCALLES; GENERAL IBAÑEZ DE IBERO;0,00000000000;341.44629439;;GENERAL IBAÑEZ IBERO;330200;0;Madrid
Guzman el Bueno;CICLOCALLES; GUZMAN EL BUENO;0,00000000000;822.57319846;;GUZMAN BUENO;352700;0;Madrid
Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;2595.89728392;;BRAVO MURILLO;114600;0;Madrid
San Bernardino Sahag·n;CICLOCALLES; SAN BERNARDINO SAHAGÚN;0,00000000000;486.13238953999996;;SAN BERNARDINO SAHAGÚN;311500;0;Madrid
Mateo Inurria;CICLOCALLES; MATEO INURRIA;0,00000000000;235.84240332000002;;MATEO INURRIA;494900;0;Madrid
Mateo Inurria;CICLOCALLES; MATEO INURRIA;0,00000000000;1013.1022394;;MATEO INURRIA;494900;0;Madrid
PlaterÝas;CICLOCALLES; PLATERÍAS;0,00000000000;185.75863221;;PLATERÍAS;599100;0;Madrid
San Bernardo;CICLOCALLES; SAN BERNARDO;0,00000000000;452.49128906000004;;SAN BERNARDO;661700;0;Madrid
Donoso Cortés;CICLOCALLES; DONOSO CORTÉS;0,00000000000;1162.66127439;;DONOSO CORTÉS;249300;0;Madrid
Fernßndez de los Rios;CICLOCALLES; FERNÁNDEZ DE LOS RIOS;0,00000000000;1191.40461089;;FERNÁNDEZ RIOS;293500;0;Madrid
Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;262.2669245;;BRAVO MURILLO;114600;0;Madrid
Gral Martinez Campos;CICLOCALLES; GENERAL MARTINEZ CAMPOS;0,00000000000;1276.25039513;;GENERAL MARTINEZ CAMPOS;331100;0;Madrid
Bravo Murillo;CICLOCALLES; BRAVO MURILLO;0,00000000000;1189.7699705;;BRAVO MURILLO;114600;0;Madrid
Sta Engracia;CICLOCALLES; SANTA ENGRACIA;0,00000000000;1688.80563998;;SANTA ENGRACIA;694525;0;Madrid
Gral ?lvarez de Castro;CICLOCALLES; GENERAL ÁLVAREZ DE CASTRO;0,00000000000;369.32395427;;GENERAL ÁLVAREZ CASTRO;328400;0;Madrid
Modesto Lafuente;CICLOCALLES; MODESTO LAFUENTE;0,00000000000;1275.79241268;;MODESTO LAFUENTE;512200;0;Madrid
Alonso Cano;CICLOCALLES; ALONSO CANO;0,00000000000;1277.94176107;;ALONSO CANO;34700;0;Madrid
