nombreOriginal;CAPA;TX_NOMBRE;MaxSimpTol;MinSimpTol;FECHA;Longitud;tipoVia;palabrasClave;idVia
Menéndez Pelayo;CICLOCALLES; MENÉNDEZ PELAYO;2169,10110617000;0,20000000000;20140801;2,16910110617;;MENÉNDEZ PELAYO;502300
PrÝncipe de Vergara;CICLOCALLES; PRÍNCIPE DE VERGARA;1775,12165474000;0,20000000000;20140801;1,77512165474;;PRÍNCIPE VERGARA;610450
PrÝncipe de Vergara;CICLOCALLES; PRÍNCIPE DE VERGARA;1802,28361392000;0,20000000000;20140801;1,80228361392;;PRÍNCIPE VERGARA;610450
Narvßez;CICLOCALLES; NARVÁEZ;996,07436258500;0,20000000000;20140801;0,99607436259;;NARVÁEZ;529200
Narvßez;CICLOCALLES; NARVÁEZ;995,71894839100;0,20000000000;20140801;0,99571894839;;NARVÁEZ;529200
Conde de Pe±alver;CICLOCALLES; CONDE DE PEÑALVER;1066,64871190000;0,20000000000;20140801;1,06664871190;;CONDE PEÑALVER;206100
Conde de Pe±alver;CICLOCALLES; CONDE DE PEÑALVER;1069,53785071000;0,20000000000;20140801;1,06953785071;;CONDE PEÑALVER;206100
Jose Ortega y Gasset;CICLOCALLES; JOSE ORTEGA Y GASSET;1586,77976118000;0,20000000000;20140801;1,58677976118;;JOSE ORTEGA GASSET;405300
Jose Ortega y Gasset;CICLOCALLES; JOSE ORTEGA Y GASSET;1582,17005478000;0,20000000000;20140801;1,58217005478;;JOSE ORTEGA GASSET;405300
Francisco Silvela;CICLOCALLES; FRANCISCO SILVELA;1607,68640899000;0,20000000000;20140801;1,60768640899;;FRANCISCO SILVELA;310200
Francisco Silvela;CICLOCALLES; FRANCISCO SILVELA;1613,95567824000;0,20000000000;20140801;1,61395567824;;FRANCISCO SILVELA;310200
Doctor Esquerdo;CICLOCALLES; DOCTOR ESQUERDO;3054,85107905000;0,20000000000;20140801;3,05485107905;;DOCTOR ESQUERDO;241300
Doctor Esquerdo;CICLOCALLES; DOCTOR ESQUERDO;3041,68123908000;0,20000000000;20140801;3,04168123908;;DOCTOR ESQUERDO;241300
Goya;CICLOCALLES; GOYA;1794,55779169000;0,20000000000;20140801;1,79455779169;;GOYA;341900
Goya;CICLOCALLES; GOYA;1792,90263043000;0,20000000000;20140801;1,79290263043;;GOYA;341900
Alcalß;CICLOCALLES; ALCALÁ;1346,26265061000;0,20000000000;20140801;1,34626265061;;ALCALÁ;18900
Alcalß;CICLOCALLES; ALCALÁ;1370,99166437000;0,20000000000;20140801;1,37099166437;;ALCALÁ;18900
Guzmßn El Bueno;CICLOCALLES; GUZMÁN EL BUENO;786,98990482800;0,20000000000;20140801;0,78698990483;;GUZMÁN BUENO;352700
