nombreOriginal;CAPA;TX_NOMBRE;MaxSimpTol;MinSimpTol;FECHA;Longitud
Alonso Cano;CICLOCALLES;Alonso Cano;0,00000000000;0,00000000000;20141125;1,27794176107
Gral Moscardó;CICLOCALLES;Gral Moscardó;0,00000000000;0,00000000000;20141125;0,65880869862
Alfonso XIII;CICLOCALLES;Alfonso XIII;0,00000000000;0,00000000000;20141125;1,54091181760
Camilo Jose Cela;CICLOCALLES;Camilo Jose Cela;0,00000000000;0,00000000000;20141125;0,95722930332
Gral Per¾n;CICLOCALLES;Gral Per¾n;0,00000000000;0,00000000000;20141125;1,10685242482
Juan de OlÝas;CICLOCALLES;Juan de OlÝas;0,00000000000;0,00000000000;20141125;0,31829056814
Gral Yagüe;CICLOCALLES;Gral Yagüe;0,00000000000;0,00000000000;20141125;1,02318093719
Francos Rodriguez;CICLOCALLES;Francos Rodriguez;0,00000000000;0,00000000000;20141125;1,60643474311
Ofelia Nieto;CICLOCALLES;Ofelia Nieto;0,00000000000;0,00000000000;20141125;0,59383743011
Asturias;CICLOCALLES;Asturias;0,00000000000;0,00000000000;20141125;1,11106824397
Francos Rodriguez;CICLOCALLES;Francos Rodriguez;0,00000000000;0,00000000000;20141125;0,32512989087
Pablo Iglesias;CICLOCALLES;Pablo Iglesias;0,00000000000;0,00000000000;20141125;0,62537226255
Pablo Iglesias;CICLOCALLES;Pablo Iglesias;0,00000000000;0,00000000000;20141125;0,44791624616
Numancia;CICLOCALLES;Numancia;0,00000000000;0,00000000000;20141125;0,28259795003
MarquÚs de Viana;CICLOCALLES;MarquÚs de Viana;0,00000000000;0,00000000000;20141125;1,48676966929
Sor Angela de la Cruz;CICLOCALLES;Sor Angela de la Cruz;0,00000000000;0,00000000000;20141125;1,48676966929
Ofelia Nieto;CICLOCALLES;Ofelia Nieto;0,00000000000;0,00000000000;20141125;0,26084773716
Concha Espina;CICLOCALLES;Concha Espina;0,00000000000;0,00000000000;20141125;1,05768648670
Badajoz;CICLOCALLES;Badajoz;0,00000000000;0,00000000000;20141125;0,49902998120
Toreros;CICLOCALLES;Toreros;0,00000000000;0,00000000000;20141125;0,81923522324
Toreros;CICLOCALLES;Toreros;0,00000000000;0,00000000000;20141125;0,28674326324
Cartagena;CICLOCALLES;Cartagena;0,00000000000;0,00000000000;20141125;0,18738565776
Martinez Izquierdo;CICLOCALLES;Martinez Izquierdo;0,00000000000;0,00000000000;20141125;1,01579906811
Alberto Alcocer;CICLOCALLES;Alberto Alcocer;0,00000000000;0,00000000000;20141125;1,01841535154
Pablo Iglesias;CICLOCALLES;Pablo Iglesias;0,00000000000;0,00000000000;20141125;0,20448136123
