nombreOriginal;OBJECTID;ID_EJE;ID_GRUPO;ID_TIPO;TX_CAPA;NU_DIRECCI;NU_DOBLE_S;TX_NOMBRE;TX_NOMBRE_;Shape_Leng
Calle del Alcalde Sßinz de Baranda;19;18;14;1;CICLOCALLES;1;0;Calle del Alcalde Sßinz de Baranda;ALCALDE SAINZ DE BARANDA;1250,63265237000
Calle de Luis Mitjans;20;19;15;1;CICLOCALLES;1;0;Calle de Luis Mitjans;LUIS MITJANS;241,12036767200
Calle de Valderribas;21;20;16;1;CICLOCALLES;-1;0;Calle de Valderribas;VALDERRIBAS;780,20067596800
Calle de Fromista;22;21;17;1;CICLOCALLES;0;1;Calle de Fromista;FROMISTA;727,58344121000
Calle de la Retama;23;22;18;1;CICLOCALLES;0;1;Calle de la Retama;RETAMA;383,82056234500
Calle de Don Ram¾n de la Cruz;24;23;19;1;CICLOCALLES;1;0;Calle de Don Ram¾n de la Cruz;DON RAMON DE LA CRUZ;1706,86406040000
Calle de Nicasio Gallego;25;24;19;1;CICLOCALLES;1;0;Calle de Nicasio Gallego;NICASIO GALLEGO;266,43265015100
Calle de Zurbarßn;26;25;19;1;CICLOCALLES;1;0;Calle de Zurbarßn;ZURBARAN;599,23715363100
Calle de Padilla;27;26;20;1;CICLOCALLES;-1;0;Calle de Padilla;PADILLA;1241,34351096000
Calle de Luis Cabrera;28;27;21;1;CICLOCALLES;1;0;Calle de Luis Cabrera;LUIS CABRERA;598,93662984600
Avenida de Aster;30;29;22;1;CICLOCALLES;-1;0;Avenida de Aster;ASTER;289,37459453700
Paseo de los Cerezos;31;30;22;1;CICLOCALLES;-1;0;Paseo de los Cerezos;CEREZOS;353,01582375500
Calle del Padre Claret;32;31;22;1;CICLOCALLES;-1;0;Calle del Padre Claret;PADRE CLARET;197,07646641800
Calle de la Drßcena;33;32;23;1;CICLOCALLES;1;0;Calle de la Drßcena;DRACENA;320,12615748700
Avenida de la Paz;34;33;24;2;PEATONAL;0;0;Avenida de la Paz;PAZ;355,31407332100
Calle de la Lagartera;35;34;25;1;CICLOCALLES;-1;0;Calle de la Lagartera;LAGARTERA;418,67534313800
Calle de La Mancha;36;35;26;1;CICLOCALLES;1;0;Calle de La Mancha;LA MANCHA;293,68685053800
Calle de Santa Rafaela MarÝa del Sagrado Coraz¾n;37;36;26;1;CICLOCALLES;1;0;Calle de Santa Rafaela MarÝa del Sagrado Coraz¾n;SANTA RAFAELA MARIA DEL SAGRADO CORAZON;247,99863440900
Calle del Vizconde de Arless¾n;38;37;26;1;CICLOCALLES;1;0;Calle del Vizconde de Arless¾n;VIZCONDE DE ARLESSON;414,40815926900
Calle de la Lagartera;39;38;27;1;CICLOCALLES;1;0;Calle de la Lagartera;LAGARTERA;362,94976269900
Calle del Conde RodrÝguez San Pedro Mejorana;40;39;28;1;CICLOCALLES;-1;0;Calle del Conde RodrÝguez San Pedro Mejorana;CONDE RODRIGUEZ SAN PEDRO MEJORANA;46,43325929560
Avenida del Monte Igueldo;42;41;30;1;CICLOCALLES;1;0;Avenida del Monte Igueldo;MONTE IGUELDO;879,62148160800
Calle de la Isla de Jamaica;43;42;31;1;CICLOCALLES;0;1;Calle de la Isla de Jamaica;ISLA DE JAMAICA;252,86540490600
Calle del Preventorio;44;43;32;1;CICLOCALLES;0;1;Calle del Preventorio;PREVENTORIO;188,67868515300
Calle de Monasterio de Las Huelgas;45;44;33;1;CICLOCALLES;0;1;Calle de Monasterio de Las Huelgas;MONASTERIO DE LAS HUELGAS;122,04243535300
Calle de Trafalgar;47;46;34;1;CICLOCALLES;1;0;Calle de Trafalgar;TRAFALGAR;124,66167315600
Calle de Blasco de Garay;48;47;35;1;CICLOCALLES;1;0;Calle de Blasco de Garay;BLASCO DE GARAY;668,38686437200
Calle de los Mßrtires de Alcalß;49;48;35;1;CICLOCALLES;1;0;Calle de los Mßrtires de Alcalß;MARTIRES DE ALCALA;240,66032189200
;50;49;36;1;CICLOCALLES;0;0;;;131,95918252400
Plaza de Carlos MarÝa de Castro;51;50;37;1;CICLOCALLES;1;0;Plaza de Carlos MarÝa de Castro;CARLOS MARIA DE CASTRO;20,35065277220
Calle de Castell¾;52;51;37;1;CICLOCALLES;1;0;Calle de Castell¾;CASTELLO;1870,33425131000
Calle de N·±ez de Balboa;54;52;38;1;CICLOCALLES;-1;0;Calle de N·±ez de Balboa;NUÐEZ DE BALBOA;1956,08256481000
