nombreOriginal;OBJECTID;ID_EJE;ID_GRUPO;ID_TIPO;TX_CAPA;NU_DIRECCI;NU_DOBLE_S;TX_NOMBRE;TX_NOMBRE_;Shape_Leng;tipoVia
Calle de la Lagartera;35;34;25;1;CICLOCALLES;-1;0; CALLE DE LA LAGARTERA;LAGARTERA;418,67534313800;Calle
Calle de La Mancha;36;35;26;1;CICLOCALLES;1;0; CALLE DE LA MANCHA;LA MANCHA;293,68685053800;Calle
Calle de Santa Rafaela MarÝa del Sagrado Coraz¾n;37;36;26;1;CICLOCALLES;1;0; CALLE DE SANTA RAFAELA MARÍA DEL SAGRADO CORAZÓN;SANTA RAFAELA MARIA DEL SAGRADO CORAZON;247,99863440900;Calle
Calle del Vizconde de Arless¾n;38;37;26;1;CICLOCALLES;1;0; CALLE DEL VIZCONDE DE ARLESSÓN;VIZCONDE DE ARLESSON;414,40815926900;Calle
Calle de la Lagartera;39;38;27;1;CICLOCALLES;1;0; CALLE DE LA LAGARTERA;LAGARTERA;362,94976269900;Calle
Calle del Conde RodrÝguez San Pedro Mejorana;40;39;28;1;CICLOCALLES;-1;0; CALLE DEL CONDE RODRÍGUEZ SAN PEDRO MEJORANA;CONDE RODRIGUEZ SAN PEDRO MEJORANA;46,43325929560;Calle
Avenida del Monte Igueldo;42;41;30;1;CICLOCALLES;1;0; AVENIDA DEL MONTE IGUELDO;MONTE IGUELDO;879,62148160800;Avenida
Calle de la Isla de Jamaica;43;42;31;1;CICLOCALLES;0;1; CALLE DE LA ISLA DE JAMAICA;ISLA DE JAMAICA;252,86540490600;Calle
Calle del Preventorio;44;43;32;1;CICLOCALLES;0;1; CALLE DEL PREVENTORIO;PREVENTORIO;188,67868515300;Calle
Calle de Monasterio de Las Huelgas;45;44;33;1;CICLOCALLES;0;1; CALLE DE MONASTERIO DE LAS HUELGAS;MONASTERIO DE LAS HUELGAS;122,04243535300;Calle
Calle de Trafalgar;47;46;34;1;CICLOCALLES;1;0; CALLE DE TRAFALGAR;TRAFALGAR;124,66167315600;Calle
Calle de Blasco de Garay;48;47;35;1;CICLOCALLES;1;0; CALLE DE BLASCO DE GARAY;BLASCO DE GARAY;668,38686437200;Calle
Calle de los Mßrtires de Alcalß;49;48;35;1;CICLOCALLES;1;0; CALLE DE LOS MÁRTIRES DE ALCALÁ;MARTIRES DE ALCALA;240,66032189200;Calle
;50;49;36;1;CICLOCALLES;0;0;;;131,95918252400;
Plaza de Carlos MarÝa de Castro;51;50;37;1;CICLOCALLES;1;0; PLAZA DE CARLOS MARÍA DE CASTRO;CARLOS MARIA DE CASTRO;20,35065277220;Plaza
Calle de Castell¾;52;51;37;1;CICLOCALLES;1;0; CALLE DE CASTELLÓ;CASTELLO;1870,33425131000;Calle
Calle de N·±ez de Balboa;54;52;38;1;CICLOCALLES;-1;0; CALLE DE N·ÑEZ DE BALBOA;NUÐEZ DE BALBOA;1956,08256481000;Calle
Parque Cu±a Verde de Latina;56;53;39;1;CICLOCALLES;-1;0; PARQUE CUÑA VERDE DE LATINA;CUÐA VERDE;650,22772097600;
Calle del Profesor JosÚ GarcÝa Santesmases;57;54;40;1;CICLOCALLES;0;1; CALLE DEL PROFESOR JOSÚ GARCÍA SANTESMASES;PROFESOR JOSE GARCIA SANTESMASES;169,11691927900;Calle
Calle de Zurbano;58;55;41;1;CICLOCALLES;1;0; CALLE DE ZURBANO;ZURBANO;1610,01889177000;Calle
Calle de Fernßndez de la Hoz;59;56;42;1;CICLOCALLES;1;0; CALLE DE FERNÁNDEZ DE LA HOZ;FERNANDEZ DE LA HOZ;1290,36829708000;Calle
Paseo de los Olivos;60;57;43;1;CICLOCALLES;1;0; PASEO DE LOS OLIVOS;OLIVOS;638,95418502200;Paseo
Calle de Eugenia de Montijo;61;58;44;1;CICLOCALLES;-1;0; CALLE DE EUGENIA DE MONTIJO;EUGENIA DE MONTIJO;252,66475436100;Calle
Calle de Cebreros;62;59;45;1;CICLOCALLES;1;0; CALLE DE CEBREROS;CEBREROS;249,63208123000;Calle
Parque Cu±a Verde de Latina;63;60;46;1;CICLOCALLES;-1;0; PARQUE CUÑA VERDE DE LATINA;CUÐA VERDE;221,70297435900;
Calle del Arroyo de las Pavas;64;61;47;1;CICLOCALLES;-1;0; CALLE DEL ARROYO DE LAS PAVAS;ARROYO DE PAVAS;94,92436254530;Calle
Calle del El Toboso;65;62;47;1;CICLOCALLES;1;0; CALLE DEL EL TOBOSO;TOBOSO;1242,92039805000;Calle
Calle Principal de Provincias;66;63;48;1;CICLOCALLES;-1;0; CALLE PRINCIPAL DE PROVINCIAS;PRINCIPAL DE PROVINCIAS;608,32427009600;Calle
Calle de JoaquÝn Lorenzo;67;64;49;1;CICLOCALLES;0;1; CALLE DE JOAQUÍN LORENZO;JOAQUIN LORENZO;1163,36048661000;Calle
Calle del General ?lvarez de Castro;68;65;51;1;CICLOCALLES;-1;0; CALLE DEL GENERAL ÁLVAREZ DE CASTRO;GENERAL ALVAREZ DE CASTRO;132,65856514000;Calle
Calle de Trafalgar;69;66;51;1;CICLOCALLES;-1;0; CALLE DE TRAFALGAR;TRAFALGAR;124,46809932400;Calle
Calle de los Estudiantes;72;69;53;1;CICLOCALLES;-1;0; CALLE DE LOS ESTUDIANTES;ESTUDIANTES;79,42414446950;Calle
Calle de AndrÚs Mellado;74;71;54;1;CICLOCALLES;-1;0; CALLE DE ANDRÚS MELLADO;ANDRES MELLADO;1248,75410383000;Calle
Avenida de SÚneca;75;72;55;1;CICLOCALLES;-1;0; AVENIDA DE SÚNECA;SENECA;231,99382020500;Avenida
Calle de la Senda del Rey;76;73;56;1;CICLOCALLES;1;0; CALLE DE LA SENDA DEL REY;SENDA DEL REY;137,23816872000;Calle
Calle del Arzobispo Morcillo;77;74;57;1;CICLOCALLES;0;1; CALLE DEL ARZOBISPO MORCILLO;ARZOBISPO MORCILLO;976,58267871200;Calle
Calle de Balsaminas;78;75;58;1;CICLOCALLES;1;0; CALLE DE BALSAMINAS;BALSAMINAS;60,65090043560;Calle
Calle del Conde de Vallellano;79;76;58;1;CICLOCALLES;1;0; CALLE DEL CONDE DE VALLELLANO;CONDE DE VALLELLANO;142,87536357900;Calle
Calle de Gonzalo Sandino;80;77;58;1;CICLOCALLES;1;0; CALLE DE GONZALO SANDINO;GONZALO SANDINO;66,62109128310;Calle
Calle de Vi±egra;81;78;59;2;PEATONAL;0;0; CALLE DE VIÑEGRA;VIÐEGRA;221,14957446200;Calle
Calle de Muntadas;82;79;60;1;CICLOCALLES;-1;0; CALLE DE MUNTADAS;MUNTADAS;304,64218473200;Calle
Calle de Cebreros;83;80;61;1;CICLOCALLES;0;1; CALLE DE CEBREROS;CEBREROS;848,72269775200;Calle
Calle del General Romero Basart;84;81;62;1;CICLOCALLES;0;1; CALLE DEL GENERAL ROMERO BASART;GENERAL ROMERO BASART;318,71261020900;Calle
Calle de JosÚ de Cadalso;85;82;63;1;CICLOCALLES;-1;0; CALLE DE JOSÚ DE CADALSO;JOSE DE CADALSO;471,57399034800;Calle
Calle de Rafael Finat;86;83;64;1;CICLOCALLES;0;1; CALLE DE RAFAEL FINAT;RAFAEL FINAT;139,86985792700;Calle
Calle de JosÚ de Cadalso;87;84;65;1;CICLOCALLES;0;1; CALLE DE JOSÚ DE CADALSO;JOSE DE CADALSO;417,36830947200;Calle
Calle de Rafael Finat;88;85;66;1;CICLOCALLES;0;1; CALLE DE RAFAEL FINAT;RAFAEL FINAT;264,36193172100;Calle
Calle de la Duquesa de Parcent;89;86;68;2;PEATONAL;0;0; CALLE DE LA DUQUESA DE PARCENT;DUQUESA DE PARCENT;256,57144771700;Calle
Paseo de Mu±oz Grandes;90;87;69;1;CICLOCALLES;-1;0; PASEO DE MUÑOZ GRANDES;MUÐOZ GRANDES;132,33082378800;Paseo
Calle de Camarena;91;88;70;1;CICLOCALLES;0;1; CALLE DE CAMARENA;CAMARENA;536,51907071600;Calle
Calle del General Romero Basart;92;89;71;1;CICLOCALLES;0;1; CALLE DEL GENERAL ROMERO BASART;GENERAL ROMERO BASART;585,75350162700;Calle
Calle de Camarena;93;90;72;1;CICLOCALLES;0;1; CALLE DE CAMARENA;CAMARENA;854,64724863500;Calle
Calle de la Vidauba;94;91;73;2;PEATONAL;0;0; CALLE DE LA VIDAUBA;VIDAUBA;102,14378503500;Calle
Calle de la Vidauba;95;92;75;2;PEATONAL;0;0; CALLE DE LA VIDAUBA;VIDAUBA;66,25108499300;Calle
Calle de Mascaraque;96;93;76;1;CICLOCALLES;1;0; CALLE DE MASCARAQUE;MASCARAQUE;368,51270077600;Calle
Calle de Consuelo Guzmßn;97;94;77;1;CICLOCALLES;0;1; CALLE DE CONSUELO GUZMÁN;CONSUELO GUZMAN;114,26601104800;Calle
Avenida de los Poblados;98;95;78;2;PEATONAL;0;0; AVENIDA DE LOS POBLADOS;POBLADOS;92,35563191920;Avenida
Calle de Tembleque;99;96;79;2;PEATONAL;0;0; CALLE DE TEMBLEQUE;TEMBLEQUE;134,78406249700;Calle
Calle de Tembleque;100;97;80;1;CICLOCALLES;0;1; CALLE DE TEMBLEQUE;TEMBLEQUE;361,49828117000;Calle
Avenida de los Poblados;101;98;81;2;PEATONAL;0;0; AVENIDA DE LOS POBLADOS;POBLADOS;102,42525622700;Avenida
Calle de Tembleque;102;99;82;2;PEATONAL;0;0; CALLE DE TEMBLEQUE;TEMBLEQUE;102,78872290600;Calle
Avenida del Padre Piquer;103;100;83;1;CICLOCALLES;1;0; AVENIDA DEL PADRE PIQUER;PADRE PIQUER;193,19452910000;Avenida
