nombreOriginal;COD_VIA;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX;tipoVia;palabrasClave
ADOLFO BIOY CASARES;31000496;CALLE;DE; ADOLFO BIOY CASARES;ADOLFO BIOY CASARES;18;1;9;2;2;;ADOLFO BIOY CASARES
ADOLFO MARSILLACH;31000486;CALLE;DE; ADOLFO MARSILLACH;ADOLFO MARSILLACH;18;15;23;4;56;;ADOLFO MARSILLACH
ADOLFO SUAREZ MADRID BARAJAS;31005003;AEROPUERTO;DE; ADOLFO SUAREZ MADRID BARAJAS;ADOLFO SUÁREZ MADRID BARAJAS;;;;;;;ADOLFO SUAREZ MADRID BARAJAS
ADONIS;969;CALLE;DE; ADONIS;ADONIS;10;1;1;2;10;;ADONIS
ADORA;5300;CALLE;DE; ADORA;ADORA;12;1;11;2;16;;ADORA
ADRA;5400;CALLE;DE; ADRA;ADRA;13;1;7;2;4;;ADRA
ADRA;5500;PASAJE;DE; ADRA;ADRA;13;1;1;6;6;;ADRA
ADRADA DE HAZA;5600;CALLE;DE; ADRADA DE HAZA;ADRADA DE HAZA;13;1;13;2;36;;ADRADA HAZA
ADRIAN ANDRES;5700;CALLE;DE; ADRIAN ANDRES;ADRIÁN ANDRÉS;9;1;31;2;16;;ADRIAN ANDRES
ADRIAN PULIDO;5900;CALLE;DE; ADRIAN PULIDO;ADRIÁN PULIDO;6;1;15;2;20;;ADRIAN PULIDO
ADRIANO DE UTRECHT;31000084;CALLE;DE; ADRIANO DE UTRECHT;ADRIANO DE UTRECHT;16;1;7;;;;ADRIANO UTRECHT
ADUANA;6000;CALLE;DE LA; ADUANA;ADUANA;1;1;33;2;18;;ADUANA
AERONAVE;6300;CALLE;DE LA; AERONAVE;AERONAVE;21;3;49;4;26;;AERONAVE
AEROPUERTO;1126;CAMINO;DEL; AEROPUERTO;AEROPUERTO;21;7;15;6;20;Aeropuerto; 
AFECTO;1006;CALLE;DEL; AFECTO;AFECTO;17;1;15;2;20;;AFECTO
AFLUENTES;1022;CALLE;DE LOS; AFLUENTES;AFLUENTES;17;1;27;2;12;;AFLUENTES
AFUERAS A SAN ROQUE;6600;CALLE;DE; AFUERAS A SAN ROQUE;AFUERAS A SAN ROQUE;8;1;23;2;10;;AFUERAS SAN ROQUE
AFUERAS A VALVERDE;6700;CALLE;DE; AFUERAS A VALVERDE;AFUERAS A VALVERDE;8;1;43;2;56;;AFUERAS VALVERDE
AFUERAS A VALVERDE;6700;CALLE;DE; AFUERAS A VALVERDE;AFUERAS A VALVERDE;8;1;43;2;56;;AFUERAS VALVERDE
AGACHADIZA;1973;PUENTE;DE LA; AGACHADIZA;AGACHADIZA;9;;;;;;AGACHADIZA
AGAMI;6800;CALLE;DE; AGAMI;AGAMI;15;1;1;2;4;;AGAMI
AGASTIA;7000;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128;;AGASTIA
AGASTIA;7000;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128;;AGASTIA
AGASTIA;7000;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128;;AGASTIA
AGASTIA;7000;CALLE;DE; AGASTIA;AGASTIA;15;1;135;2;128;;AGASTIA
AGATA;7100;CALLE;DE; AGATA;ÁGATA;17;1;5;2;4;;AGATA
AGATA;7200;PLAZA;DE; AGATA;ÁGATA;17;1;11;2;8;;AGATA
AGATHA CHRISTIE;31001351;CALLE;DE; AGATHA CHRISTIE;AGATHA CHRISTIE;16;1;269;2;56;;AGATHA CHRISTIE
AGAVE;7300;CALLE;DEL; AGAVE;ÁGAVE;6;1;33;2;24;;AGAVE
AGES;2826;CALLE;DE; AGES;AGÉS;8;1;1;2;4;;AGES
AGILA;7400;CALLE;DE; AGILA;AGILA;10;1;1;2;12;;AGILA
AGOSTO;7600;CALLE;DE; AGOSTO;AGOSTO;20;1;71;2;70;;AGOSTO
AGRACEJO;7700;CALLE;DEL; AGRACEJO;AGRACEJO;6;1;19;2;12;;AGRACEJO
AGRAMUNT;7800;CALLE;DE; AGRAMUNT;AGRAMUNT;21;1;3;2;4;;AGRAMUNT
AGREDA;7850;CALLE;DE; AGREDA;ÁGREDA;16;1;11;2;16;;AGREDA
AGUA, AZUCARILLOS Y AGUARDIENTE;31001268;PLAZA;DE; AGUA, AZUCARILLOS Y AGUARDIENTE;AGUA, AZUCARILLOS Y AGUARDIENTE;17;;;;;;AGUA, AZUCARILLOS AGUARDIENTE
AGUA, AZUCARILLOS Y AGUARDIENTE;31001268;PLAZA;DE; AGUA, AZUCARILLOS Y AGUARDIENTE;AGUA, AZUCARILLOS Y AGUARDIENTE;17;;;;;;AGUA, AZUCARILLOS AGUARDIENTE
AGUACATE;7900;CALLE;DEL; AGUACATE;AGUACATE;11;1;47;2;64;;AGUACATE
AGUADOR;8000;PLAZA;DEL; AGUADOR;AGUADOR;11;;;2;6;;AGUADOR
AGUADULCE;8100;CALLE;DE; AGUADULCE;AGUADULCE;21;1;15;2;16;;AGUADULCE
AGUARON;8200;CALLE;DE; AGUARON;AGUARÓN;9;3;35;4;58;;AGUARON
AGUAS;8300;CALLE;DE LAS; AGUAS;AGUAS;1;1;17;2;14;;AGUAS
AGUAVIVA;8400;CALLE;DE; AGUAVIVA;AGUAVIVA;20;1;5;2;8;;AGUAVIVA
AGUEDA DIEZ;8500;CALLE;DE; AGUEDA DIEZ;ÁGUEDA DÍEZ;11;1;7;2;10;;AGUEDA DIEZ
AGUEDA DIEZ;8600;PLAZA;DE; AGUEDA DIEZ;ÁGUEDA DÍEZ;11;1;5;2;4;;AGUEDA DIEZ
AGUETOL;838;CALLE;DE; AGUETOL;AGUETOL;21;1;13;2;14;;AGUETOL
AGUILA;8700;CALLE;DEL; AGUILA;ÁGUILA;1;1;27;2;22;;AGUILA
AGUILA DE SAN JORGE;905563;CAMINO;DEL; AGUILA DE SAN JORGE;ÁGUILA DE SAN JORGE;8;;;;;;AGUILA SAN JORGE
AGUILAFUENTE;8800;CALLE;DE; AGUILAFUENTE;AGUILAFUENTE;9;1;131;36;36;;AGUILAFUENTE
AGUILAR DE CAMPOO;8900;CALLE;DE; AGUILAR DE CAMPOO;AGUILAR DE CAMPOO;9;1;29;2;28;;AGUILAR CAMPOO
AGUILAR DEL RIO;9100;CALLE;DE; AGUILAR DEL RIO;AGUILAR DEL RÍO;11;1;23;2;18;;AGUILAR RIO
AGUILEÑAS;9200;CALLE;DE LAS; AGUILEÑAS;AGUILEÑAS;6;1;15;2;6;;AGUILEÑAS
AGUILON;9300;CALLE;DE; AGUILON;AGUILÓN;2;1;17;2;4;;AGUILON
AGUIRRE;9500;CALLE;DE; AGUIRRE;AGUIRRE;4;1;5;2;2;;AGUIRRE
AGUJA;9600;CALLE;DE LA; AGUJA;AGUJA;20;1;1;2;16;;AGUJA
AGUSTIN CALVO;9900;CALLE;DE; AGUSTIN CALVO;AGUSTÍN CALVO;16;3;53;4;50;;AGUSTIN CALVO
AGUSTIN DE BETANCOURT;9800;CALLE;DE; AGUSTIN DE BETANCOURT;AGUSTÍN DE BETANCOURT;7;1;25;2;6;;AGUSTIN BETANCOURT
AGUSTIN DE FOXA;10200;CALLE;DE; AGUSTIN DE FOXA;AGUSTÍN DE FOXÁ;5;1;33;2;58;;AGUSTIN FOXA
AGUSTIN DE ITURBIDE;2263;CALLE;DE; AGUSTIN DE ITURBIDE;AGUSTÍN DE ITURBIDE;16;1;7;2;38;;AGUSTIN ITURBIDE
AGUSTIN DE ROJAS;10600;CALLE;DE; AGUSTIN DE ROJAS;AGUSTÍN DE ROJAS;5;1;13;2;12;;AGUSTIN ROJAS
AGUSTIN DURAN;10100;CALLE;DE; AGUSTIN DURAN;AGUSTÍN DURÁN;4;1;39;2;34;;AGUSTIN DURAN
AGUSTIN GARCIA MALLA;2643;CALLE;DE; AGUSTIN GARCIA MALLA;AGUSTÍN GARCÍA MALLA;18;;;2;12;;AGUSTIN GARCIA MALLA
AGUSTIN GONZALEZ;31001046;PLAZA;DE; AGUSTIN GONZALEZ;AGUSTÍN GONZÁLEZ;15;1;15;;;;AGUSTIN GONZALEZ
AGUSTIN LARA;10260;CALLE;DE; AGUSTIN LARA;AGUSTÍN LARA;9;1;11;2;22;;AGUSTIN LARA
AGUSTIN QUEROL;10400;CALLE;DE; AGUSTIN QUEROL;AGUSTÍN QUEROL;3;1;13;2;8;;AGUSTIN QUEROL
AGUSTIN RODRIGUEZ BONAT;10500;CALLE;DE; AGUSTIN RODRIGUEZ BONAT;AGUSTÍN RODRÍGUEZ BONAT;11;1;7;2;2;;AGUSTIN RODRIGUEZ BONAT
AGUSTIN VIÑAMATA;10800;CALLE;DE; AGUSTIN VIÑAMATA;AGUSTÍN VIÑAMATA;3;1;5;2;8;;AGUSTIN VIÑAMATA
AGUSTINA DE ARAGON;10900;CALLE;DE; AGUSTINA DE ARAGON;AGUSTINA DE ARAGÓN;4;1;21;2;14;;AGUSTINA ARAGON
AGUSTINA FIERRA;11100;CALLE;DE; AGUSTINA FIERRA;AGUSTINA FIERRA;11;3;9;2;10;;AGUSTINA FIERRA
AHIJONES;11300;CALLE;DE LOS; AHIJONES;AHIJONES;13;1;5;4;12;;AHIJONES
