COD_VIA;nombreOriginal;VIA_CLASE;VIA_PAR;VIA_NOMBRE;VIA_NOMBRE_ACENTOS;DISTRITO;IMPAR_MIN;IMPAR_MAX;PAR_MIN;PAR_MAX;tipoVia;palabrasClave
906015;ACCESO A LA ESTACION DE O'DONNELL;CARRETERA;DE; ACCESO A LA ESTACION DE O'DONNELL;ACCESO A LA ESTACIÓN DE O'DONNELL;20;;;10;10;Acceso;ESTACION O'DONNELL
3700;ACEBEDO;CALLE;DE; ACEBEDO;ACEBEDO;16;5;2127;4;2048;;ACEBEDO
3750;ACEBES;CALLE;DE; ACEBES;ACEBES;17;1;5;2;8;;ACEBES
3800;ACEBO;CALLE;DEL; ACEBO;ACEBO;5;1;23;2;24;;ACEBO
546601;ACEBUCHE;CALLE;DEL; ACEBUCHE;ACEBUCHE;9;1;1;2;18;;ACEBUCHE
905704;ACEITEROS;CAMINO;DE LOS; ACEITEROS;ACEITEROS;18;101;117;;;;ACEITEROS
3900;ACENTEJO;CALLE;DE; ACENTEJO;ACENTEJO;15;3;9;2;10;;ACENTEJO
906106;ACEREIRO;CALLE;DE; ACEREIRO;ACEREIRO;10;1;5;2;8;;ACEREIRO
4100;ACEUCHAL;CALLE;DE; ACEUCHAL;ACEUCHAL;11;1;19;2;18;;ACEUCHAL
4100;ACEUCHAL;CALLE;DE; ACEUCHAL;ACEUCHAL;11;1;19;2;18;;ACEUCHAL
928;ACHICORIA;PLAZA;DE LA; ACHICORIA;ACHICORIA;10;1;3;2;4;;ACHICORIA
4200;ACHURI;CALLE;DE; ACHURI;ACHURI;15;1;43;2;50;;ACHURI
901;ACONCAGUA;CALLE;DE; ACONCAGUA;ACONCAGUA;16;;;2;4;;ACONCAGUA
901;ACONCAGUA;CALLE;DE; ACONCAGUA;ACONCAGUA;16;;;2;4;;ACONCAGUA
4400;ACONITO;CALLE;DEL; ACONITO;ACÓNITO;6;;;4;4;;ACONITO
4450;ACUARELA;CALLE;DE LA; ACUARELA;ACUARELA;21;1;11;2;12;;ACUARELA
4500;ACUARIO;CALLE;DE; ACUARIO;ACUARIO;21;1;31;2;38;;ACUARIO
4600;ACUEDUCTO;CALLE;DEL; ACUEDUCTO;ACUEDUCTO;6;1;7;2;12;;ACUEDUCTO
31000190;ACUEDUCTO DE SEGOVIA;CALLE;DEL; ACUEDUCTO DE SEGOVIA;ACUEDUCTO DE SEGOVIA;11;5;5;6;6;;ACUEDUCTO SEGOVIA
4700;ACUERDO;CALLE;DEL; ACUERDO;ACUERDO;1;1;41;2;38;;ACUERDO
31000289;ADAM SMITH;CALLE;DE; ADAM SMITH;ADAM SMITH;8;;;2;4;;ADAM SMITH
4750;ADANERO;CALLE;DE; ADANERO;ADANERO;10;1;7;2;16;;ADANERO
4900;ADELA BALBOA;CALLE;DE; ADELA BALBOA;ADELA BALBOA;6;1;7;2;16;;ADELA BALBOA
5000;ADELFAS;CALLE;DE LAS; ADELFAS;ADELFAS;3;1;15;2;40;;ADELFAS
389800;ADELINA PATTI;CALLE;DE; ADELINA PATTI;ADELINA PATTI;8;1;13;;;;ADELINA PATTI
5200;ADEMUZ;CALLE;DE; ADEMUZ;ADEMUZ;11;1;9;2;12;;ADEMUZ
31000496;ADOLFO BIOY CASARES;CALLE;DE; ADOLFO BIOY CASARES;ADOLFO BIOY CASARES;18;1;9;2;2;;ADOLFO BIOY CASARES
31000486;ADOLFO MARSILLACH;CALLE;DE; ADOLFO MARSILLACH;ADOLFO MARSILLACH;18;15;23;4;56;;ADOLFO MARSILLACH
31005003;ADOLFO SUAREZ MADRID BARAJAS;AEROPUERTO;DE; ADOLFO SUAREZ MADRID BARAJAS;ADOLFO SUÁREZ MADRID BARAJAS;;;;;;;ADOLFO SUAREZ MADRID BARAJAS
969;ADONIS;CALLE;DE; ADONIS;ADONIS;10;1;1;2;10;;ADONIS
5300;ADORA;CALLE;DE; ADORA;ADORA;12;1;11;2;16;;ADORA
5400;ADRA;CALLE;DE; ADRA;ADRA;13;1;7;2;4;;ADRA
5500;ADRA;PASAJE;DE; ADRA;ADRA;13;1;1;6;6;;ADRA
5600;ADRADA DE HAZA;CALLE;DE; ADRADA DE HAZA;ADRADA DE HAZA;13;1;13;2;36;;ADRADA HAZA
5700;ADRIAN ANDRES;CALLE;DE; ADRIAN ANDRES;ADRIÁN ANDRÉS;9;1;31;2;16;;ADRIAN ANDRES
5900;ADRIAN PULIDO;CALLE;DE; ADRIAN PULIDO;ADRIÁN PULIDO;6;1;15;2;20;;ADRIAN PULIDO
31000084;ADRIANO DE UTRECHT;CALLE;DE; ADRIANO DE UTRECHT;ADRIANO DE UTRECHT;16;1;7;;;;ADRIANO UTRECHT
6000;ADUANA;CALLE;DE LA; ADUANA;ADUANA;1;1;33;2;18;;ADUANA
6300;AERONAVE;CALLE;DE LA; AERONAVE;AERONAVE;21;3;49;4;26;;AERONAVE
